siparis_id,musteri_id,siparis_tarihi,sehir,musteri_kidem_ayi,kategori,birim_fiyat,adet,indirim_orani,kampanya,odeme_yontemi,cihaz,kargo_gunu,iade_edildi,memnuniyet_puani,siparis_tutari
S000494,M0163,2025-10-22,Elazığ,38,Ev & Yaşam,869.32,1.0,0.0,Yok,Kapıda Ödeme,Mobil,6.0,Hayır,4.0,869.32
S000206,M0309,2025-11-21,İzmir,18,Giyim,1035.48,1.0,0.0,Yok,Kapıda Ödeme,Masaüstü,3.0,Evet,2.0,1035.48
S001194,M0309,2025-12-22,İzmir,18,Giyim,666.9,1.0,0.15,Yeni Üye,Banka Kartı,Mobil,3.0,Hayır,4.0,566.86
S000342,M0004,2025-03-18,İzmir,45,Ev & Yaşam,823.76,1.0,0.25,Sepette İndirim,Havale/EFT,Mobil,3.0,Hayır,4.0,617.82
S000917,M0015,2025-12-10,İstanbul,35,Kitap,261.74,3.0,0.0,Yok,Kapıda Ödeme,Mobil,3.0,Hayır,5.0,785.22
S000170,M0280,2025-05-28,İstanbul,17,Spor,448.81,2.0,0.1,Hafta Sonu,Banka Kartı,Mobil,3.0,Hayır,4.0,807.86
S000971,M0230,2025-12-22,İstanbul,1,Elektronik,2188.79,1.0,0.0,Yok,Kapıda Ödeme,Masaüstü,3.0,Hayır,5.0,2188.79
S000748,M0233,2025-05-01,Ankara,27,Giyim,1016.15,4.0,0.0,Yok,Kredi Kartı,Masaüstü,7.0,Hayır,3.0,4064.6
S001001,M0191,2025-10-23,Bursa,48,Giyim,370.43,2.0,0.0,Yok,Kredi Kartı,Mobil,4.0,Hayır,5.0,740.86
S000035,M0253,2025-04-06,Ankara,5,Kozmetik,679.08,1.0,0.0,Yok,Kredi Kartı,Masaüstü,2.0,Evet,3.0,679.08
S000147,M0309,2025-07-16,İzmir,18,Spor,708.3,3.0,0.15,Yeni Üye,Kredi Kartı,Mobil,2.0,Hayır,4.0,1806.16
S001081,M0230,2025-07-11,İstanbul,1,Kitap,360.45,2.0,0.15,Yeni Üye,Kredi Kartı,Masaüstü,2.0,Hayır,4.0,612.76
S000247,M0109,2025-07-29,İstanbul,27,Elektronik,9165.9,2.0,0.1,Hafta Sonu,Kredi Kartı,Masaüstü,2.0,Hayır,3.0,16498.62
S000537,M0027,2025-11-04,Ankara,40,Giyim,835.55,6.0,0.25,Özel Gün,Kredi Kartı,Mobil,3.0,Hayır,5.0,3759.97
S000250,M0309,2025-12-16,İzmir,18,Spor,776.55,1.0,0.25,Özel Gün,Banka Kartı,Mobil,4.0,Hayır,4.0,582.41
S000500,M0144,2025-07-13,Bursa,8,Ev & Yaşam,388.36,3.0,0.0,Yok,Havale/EFT,Mobil,11.0,Hayır,3.0,1165.08
S001392,M0197,2025-09-23,İstanbul,4,Ev & Yaşam,741.13,1.0,0.0,Yok,Kredi Kartı,Mobil,6.0,Hayır,3.0,741.13
S000189,M0254,2025-05-15,İzmir,22,Giyim,1318.98,1.0,0.0,Yok,Kredi Kartı,Masaüstü,1.0,Evet,3.0,1318.98
S001128,M0309,2025-11-30,İzmir,18,Spor,1185.19,1.0,0.25,Sepette İndirim,Kapıda Ödeme,Mobil,3.0,Hayır,4.0,888.89
S000595,M0309,2025-06-13,İzmir,18,Elektronik,942.34,1.0,0.1,Hafta Sonu,Kapıda Ödeme,Masaüstü,6.0,Evet,3.0,848.11
S001085,M0309,2025-10-16,İzmir,18,Giyim,528.15,0.0,0.15,Hafta Sonu,Banka Kartı,Mobil,4.0,Hayır,5.0,897.85
S000386,M0313,2025-11-18,İzmir,8,Giyim,822.58,5.0,0.0,Yok,Kredi Kartı,Masaüstü,3.0,Evet,3.0,4112.9
S000476,M0053,2025-12-07,İstanbul,33,Giyim,312.64,1.0,0.15,Özel Gün,Kredi Kartı,Masaüstü,3.0,Hayır,4.0,265.74
S000497,M0191,2025-04-11,Bursa,48,Kozmetik,351.33,2.0,,Hafta Sonu,Kredi Kartı,Mobil,4.0,Hayır,4.0,667.53
S001254,M0219,2025-02-08,İstanbul,37,Spor,1847.42,2.0,0.0,Yok,Kredi Kartı,Masaüstü,8.0,Hayır,4.0,3694.84
S000787,M0039,2025-08-08,Bursa,13,Spor,783.31,2.0,0.1,Hafta Sonu,Banka Kartı,Mobil,3.0,Hayır,4.0,1409.96
S000820,M0058,2025-06-14,Ankara,9,Elektronik,4655.93,1.0,0.15,Yeni Üye,Havale/EFT,Mobil,1.0,Hayır,4.0,3957.54
S000603,M0303,2025-12-03,Ankara,11,Spor,522.83,1.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,2.0,Hayır,4.0,444.41
S000422,M0121,2025-11-09,İstanbul,10,Spor,751.29,2.0,0.0,Yok,Kapıda Ödeme,Mobil,4.0,Hayır,4.0,1502.58
S000779,M0090,2025-05-15,Bursa,18,Spor,2270.33,4.0,0.05,Yok,Kredi Kartı,Mobil,2.0,Hayır,5.0,8627.25
S000016,M0226,2025-05-02,İstanbul,31,Elektronik,12909.52,1.0,0.25,Özel Gün,Kredi Kartı,Masaüstü,5.0,Hayır,4.0,9682.14
S000124,M0305,2025-07-15,Ankara,27,Elektronik,4074.61,1.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,4.0,4074.61
S000062,M0007,2025-03-25,Elazığ,17,Elektronik,14165.0,1.0,0.1,Yeni Üye,Kredi Kartı,Mobil,3.0,Hayır,5.0,12748.5
S001234,M0309,2025-04-22,İzmir,18,Kozmetik,228.11,1.0,0.2,Özel Gün,Kredi Kartı,Tablet,3.0,Evet,,182.49
S000758,M0186,2025-05-13,Malatya,25,Elektronik,2029.04,2.0,0.0,Yok,Kapıda Ödeme,Mobil,6.0,Hayır,5.0,4058.08
S000153,M0309,2025-04-16,İzmir,18,Kitap,160.0,1.0,0.0,Yok,Kredi Kartı,Tablet,2.0,Hayır,5.0,160.0
S000771,M0297,2025-09-03,Malatya,35,Elektronik,6254.39,1.0,0.0,Yok,Banka Kartı,Mobil,5.0,Hayır,5.0,6254.39
S000961,M0309,2025-07-05,İzmir,18,Elektronik,4478.37,3.0,0.0,Yok,Havale/EFT,Mobil,5.0,Hayır,5.0,13435.11
S000084,M0315,2025-01-13,İstanbul,36,Spor,985.85,2.0,0.2,Sepette İndirim,Kredi Kartı,Masaüstü,2.0,Hayır,4.0,1577.36
S000200,M0185,2025-09-30,Malatya,41,Spor,3613.01,2.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,3.0,Hayır,5.0,6142.12
S000912,M0044,2025-01-01,İstanbul,41,Ev & Yaşam,2639.89,1.0,0.0,Yok,Kapıda Ödeme,Mobil,2.0,Hayır,5.0,2639.89
S001323,M0051,2025-05-04,Elazığ,34,Ev & Yaşam,1051.24,1.0,0.0,Yok,Kredi Kartı,Mobil,4.0,Hayır,5.0,1051.24
S000792,M0210,2025-10-02,Malatya,40,Giyim,482.59,1.0,0.15,Sepette İndirim,Kredi Kartı,Masaüstü,5.0,Hayır,4.0,410.2
S000406,M0309,2025-06-27,İzmir,18,Giyim,1677.34,1.0,0.1,Hafta Sonu,Havale/EFT,Mobil,4.0,Hayır,5.0,1509.61
S000313,M0309,2025-08-08,İzmir,18,Ev & Yaşam,1305.7,1.0,0.1,Hafta Sonu,Kredi Kartı,Mobil,5.0,Hayır,4.0,1175.13
S000928,M0316,2025-01-10,Elazığ,2,Ev & Yaşam,1612.03,2.0,0.15,Sepette İndirim,Kredi Kartı,Masaüstü,4.0,Hayır,4.0,2740.45
S000415,M0119,2025-03-28,İzmir,16,Kozmetik,235.3,2.0,0.1,Yeni Üye,Kredi Kartı,Masaüstü,3.0,Hayır,5.0,423.54
S000649,M0309,2025-05-11,İzmir,18,Elektronik,2049.28,1.0,0.0,Yok,Kredi Kartı,Mobil,4.0,Hayır,4.0,2049.28
S000169,M0232,2025-04-21,Malatya,12,Giyim,333.06,1.0,0.1,Yeni Üye,Kredi Kartı,Mobil,2.0,Hayır,4.0,299.75
S001276,M0079,2025-11-11,Ankara,40,Spor,1682.96,3.0,0.25,Sepette İndirim,Banka Kartı,Mobil,1.0,Hayır,5.0,3786.66
S000005,M0309,2025-06-02,İzmir,18,Kozmetik,312.51,2.0,0.0,Yok,Kredi Kartı,Masaüstü,2.0,Hayır,4.0,625.02
S000303,M0309,2025-12-19,İzmir,18,Giyim,1033.48,1.0,0.15,Yeni Üye,Banka Kartı,Mobil,3.0,Hayır,5.0,878.46
S000914,M0121,2025-11-27,İstanbul,10,Giyim,365.11,4.0,0.15,Hafta Sonu,Havale/EFT,Mobil,4.0,Hayır,5.0,1241.37
S000087,M0309,2025-02-10,İzmir,18,Spor,1306.28,1.0,0.1,Sepette İndirim,Kredi Kartı,Mobil,5.0,Hayır,3.0,1175.65
S000651,M0269,2025-09-27,Malatya,45,Ev & Yaşam,2443.0,3.0,0.25,Özel Gün,Kredi Kartı,Mobil,6.0,Hayır,5.0,5496.75
S001009,M0309,2025-01-28,İzmir,18,Kozmetik,570.22,3.0,0.15,Sepette İndirim,Banka Kartı,Mobil,4.0,Hayır,4.0,1454.06
S001066,M0260,2025-07-27,Bursa,32,Elektronik,2110.15,3.0,0.1,Hafta Sonu,Kredi Kartı,Masaüstü,1.0,Hayır,,5697.41
S001048,M0174,2025-07-19,Bursa,5,Elektronik,2661.63,5.0,0.0,Yok,Havale/EFT,Masaüstü,1.0,Hayır,5.0,13308.15
S000780,M0303,2025-11-20,Ankara,11,Ev & Yaşam,1218.98,1.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,4.0,1218.98
S001223,M0148,2025-05-27,İstanbul,4,Elektronik,4220.82,1.0,0.1,Sepette İndirim,Kredi Kartı,Mobil,1.0,Hayır,4.0,3798.74
S000783,M0314,2025-04-17,İstanbul,20,Kitap,323.04,3.0,0.1,Yeni Üye,Havale/EFT,Mobil,2.0,Hayır,4.0,872.21
S000453,M0049,2025-05-16,İzmir,45,Giyim,833.9,2.0,0.05,Yok,Kredi Kartı,Tablet,2.0,Hayır,4.0,1584.41
S000636,M0309,2025-12-07,İzmir,18,Kozmetik,618.54,3.0,0.15,Sepette İndirim,Banka Kartı,Masaüstü,6.0,Hayır,4.0,1577.28
S000106,M0210,2025-11-18,Malatya,40,Ev & Yaşam,676.13,1.0,0.25,Özel Gün,Kredi Kartı,Masaüstü,4.0,Evet,2.0,507.1
S001258,M0098,2025-08-25,İstanbul,30,Spor,614.89,2.0,0.0,Yok,Banka Kartı,Mobil,2.0,Hayır,5.0,1229.78
S000838,M0083,2025-07-11,Bursa,46,Kitap,202.44,1.0,0.1,Hafta Sonu,Kredi Kartı,Mobil,2.0,Hayır,5.0,182.2
S001038,M0309,2025-02-06,İzmir,18,Spor,322.98,1.0,0.0,Yok,Banka Kartı,Masaüstü,10.0,Evet,2.0,322.98
S001386,M0222,2025-10-20,İstanbul,12,Spor,1304.93,1.0,0.0,Yok,Banka Kartı,Mobil,7.0,Hayır,2.0,1304.93
S000521,M0250,2025-04-30,İstanbul,35,Kitap,253.05,1.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,2.0,Hayır,5.0,215.09
S001346,M0191,2025-01-24,Bursa,48,Giyim,611.94,3.0,,Yok,Kredi Kartı,Mobil,6.0,Hayır,4.0,1835.82
S000762,M0306,2025-09-06,Ankara,25,Giyim,350.06,4.0,0.15,Sepette İndirim,Banka Kartı,Masaüstü,1.0,Hayır,5.0,1190.2
S000710,M0105,2025-05-22,Ankara,45,Ev & Yaşam,720.49,1.0,0.05,Hafta Sonu,Havale/EFT,Mobil,2.0,Hayır,,684.47
S000149,M0157,2025-01-15,İstanbul,24,Kozmetik,352.59,1.0,0.0,Yok,Kredi Kartı,Tablet,2.0,Hayır,5.0,352.59
S000470,M0158,2025-02-10,Bursa,26,Kitap,316.35,2.0,0.0,Yok,Banka Kartı,Mobil,4.0,Hayır,3.0,632.7
S001082,M0014,2025-07-09,Malatya,15,Kitap,270.27,1.0,0.15,Hafta Sonu,Kredi Kartı,Mobil,10.0,Hayır,2.0,229.73
S000690,M0166,2025-01-26,İzmir,29,Kitap,130.36,2.0,0.0,Yok,Banka Kartı,Mobil,5.0,Hayır,4.0,260.72
S000120,M0078,2025-02-05,İzmir,28,Spor,2010.53,2.0,0.0,Yok,Kredi Kartı,Masaüstü,2.0,Evet,3.0,4021.06
S000194,M0233,2025-04-07,Ankara,27,Kitap,153.48,1.0,0.15,Sepette İndirim,Banka Kartı,Masaüstü,3.0,Hayır,4.0,130.46
S000652,M0288,2025-01-24,Ankara,30,Kozmetik,388.16,4.0,0.05,Hafta Sonu,Banka Kartı,Mobil,2.0,Hayır,4.0,1475.01
S001153,M0119,2025-01-07,İzmir,16,Giyim,1656.76,1.0,0.0,Yok,Banka Kartı,Mobil,3.0,Hayır,4.0,1656.76
S000697,M0306,2025-10-22,Ankara,25,Giyim,1011.52,1.0,0.25,Sepette İndirim,Kredi Kartı,Mobil,4.0,Hayır,5.0,758.64
S000750,M0051,2025-11-07,Elazığ,34,Elektronik,694.92,1.0,0.0,Yok,Kredi Kartı,Masaüstü,6.0,Hayır,4.0,694.92
S001177,M0288,2025-09-29,Ankara,30,Kozmetik,326.53,1.0,0.0,Yok,Kredi Kartı,Mobil,1.0,Hayır,5.0,326.53
S001335,M0024,2025-01-18,Ankara,35,Kitap,331.24,2.0,0.0,Yok,Banka Kartı,Mobil,3.0,Hayır,5.0,662.48
S000813,M0100,2025-12-19,İstanbul,35,Kozmetik,308.33,2.0,0.0,Yok,Banka Kartı,Mobil,1.0,Hayır,4.0,616.66
S000439,M0309,2025-01-11,İzmir,18,Giyim,757.54,2.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,5.0,1515.08
S000294,M0240,2025-12-03,Elazığ,21,Giyim,805.12,2.0,0.0,Yok,Kredi Kartı,Tablet,7.0,Hayır,4.0,1610.24
S000285,M0282,2025-09-13,Malatya,39,Elektronik,8041.12,2.0,0.0,Yok,Banka Kartı,Mobil,3.0,Hayır,5.0,16082.24
S000096,M0297,2025-01-23,Malatya,35,Spor,609.63,2.0,0.0,Yok,Banka Kartı,Mobil,4.0,Hayır,4.0,1219.26
S000146,M0279,2025-05-12,Ankara,44,Ev & Yaşam,314.34,1.0,0.15,Özel Gün,Kredi Kartı,Masaüstü,1.0,Hayır,4.0,267.19
S000522,M0002,2025-12-13,Ankara,26,Elektronik,5204.13,1.0,0.0,Yok,Kredi Kartı,Mobil,5.0,Hayır,5.0,5204.13
S000197,M0245,2025-12-29,İstanbul,10,Kitap,314.7,2.0,0.2,Özel Gün,Kapıda Ödeme,Mobil,3.0,Hayır,4.0,503.52
S000008,M0229,2025-03-25,İstanbul,1,Elektronik,7560.22,1.0,0.05,Hafta Sonu,Kapıda Ödeme,Mobil,3.0,Hayır,3.0,7182.21
S000942,M0104,2025-05-05,Ankara,24,Giyim,884.34,2.0,0.0,Yok,Banka Kartı,Mobil,4.0,Hayır,5.0,1768.68
S000229,M0155,2025-08-16,Ankara,7,Giyim,624.84,3.0,0.0,Yok,Kapıda Ödeme,Tablet,5.0,Hayır,4.0,1874.52
S000394,M0215,2025-12-18,Elazığ,32,Elektronik,3180.25,1.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,3.0,3180.25
S000417,M0203,2025-12-14,İstanbul,22,Kozmetik,301.7,1.0,0.0,Yok,Kapıda Ödeme,Masaüstü,5.0,Hayır,5.0,301.7
S001327,M0269,2025-03-08,Malatya,45,Giyim,374.89,2.0,0.0,Yok,Kapıda Ödeme,Mobil,4.0,Hayır,4.0,749.78
S001127,M0309,2025-08-01,İzmir,18,Spor,2084.38,1.0,0.1,Hafta Sonu,Banka Kartı,Masaüstü,5.0,Hayır,4.0,1875.94
S000973,M0160,2025-10-04,Ankara,46,Spor,984.76,2.0,0.1,Hafta Sonu,Banka Kartı,Mobil,3.0,Hayır,3.0,1772.57
S001326,M0306,2025-03-27,Ankara,25,Kozmetik,153.52,1.0,0.0,Yok,Kredi Kartı,Masaüstü,1.0,Hayır,4.0,153.52
S000290,M0028,2025-09-29,Bursa,4,Giyim,946.59,2.0,0.1,Sepette İndirim,Havale/EFT,Mobil,1.0,Hayır,4.0,1703.86
S001130,M0102,2025-08-01,İzmir,40,Ev & Yaşam,492.38,2.0,0.0,Yok,Banka Kartı,Mobil,8.0,Hayır,4.0,984.76
S000243,M0305,2025-11-13,Ankara,27,Ev & Yaşam,2528.56,1.0,0.1,Yeni Üye,Kredi Kartı,Mobil,3.0,Evet,,2275.7
S001186,M0064,2025-10-05,İzmir,40,Spor,1655.38,1.0,0.1,Sepette İndirim,Havale/EFT,Tablet,4.0,Hayır,3.0,1489.84
S001086,M0213,2025-09-04,Ankara,7,Giyim,543.29,1.0,0.05,Yok,Kredi Kartı,Mobil,4.0,Hayır,5.0,516.13
S000053,M0282,2025-01-08,Malatya,39,Spor,1138.17,2.0,0.2,Yeni Üye,Kredi Kartı,Mobil,3.0,Hayır,5.0,1821.07
S000826,M0220,2025-03-21,Bursa,19,Kitap,303.82,1.0,0.1,Hafta Sonu,Havale/EFT,Mobil,2.0,Hayır,4.0,273.44
S000508,M0218,2025-08-15,Ankara,46,Spor,1277.1,1.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,5.0,1277.1
S000223,M0130,2025-11-24,İstanbul,36,Spor,680.42,2.0,0.0,Yok,Kredi Kartı,Tablet,3.0,Evet,5.0,1360.84
S001149,M0220,2025-03-22,Bursa,19,Giyim,959.1,2.0,0.2,Sepette İndirim,Kredi Kartı,Masaüstü,6.0,Hayır,4.0,1534.56
S000864,M0197,2025-11-02,İstanbul,4,Giyim,690.18,2.0,0.15,Sepette İndirim,Kredi Kartı,Masaüstü,3.0,Hayır,,1173.31
S001047,M0115,2025-11-14,Bursa,25,Ev & Yaşam,1017.76,1.0,0.05,Yok,Kredi Kartı,Masaüstü,4.0,Hayır,4.0,966.87
S000939,M0212,2025-02-25,Ankara,42,Kitap,275.13,1.0,0.0,Yok,Kredi Kartı,Mobil,3.0,Hayır,5.0,275.13
S000314,M0096,2025-11-12,Elazığ,22,Spor,837.73,2.0,0.1,Sepette İndirim,Havale/EFT,Mobil,4.0,Evet,2.0,1507.91
S001399,M0107,2025-11-09,İzmir,6,Ev & Yaşam,454.42,1.0,0.0,Yok,Havale/EFT,Masaüstü,5.0,Hayır,4.0,454.42
S000765,M0315,2025-09-11,İstanbul,36,Kitap,244.59,1.0,0.0,Yok,Kapıda Ödeme,Mobil,4.0,Hayır,5.0,244.59
S000350,M0035,2025-08-10,Malatya,38,Kitap,195.1,2.0,0.05,Hafta Sonu,Kredi Kartı,Mobil,4.0,Hayır,,370.69
S000339,M0302,2025-01-29,Bursa,41,Spor,882.65,1.0,0.15,Sepette İndirim,Kredi Kartı,Mobil,3.0,Hayır,5.0,750.25
S000127,M0309,2025-10-29,İzmir,18,Ev & Yaşam,4355.7,2.0,0.0,Yok,Banka Kartı,Mobil,,Hayır,4.0,8711.4
S000638,M0303,2025-01-14,Ankara,11,Ev & Yaşam,474.76,1.0,0.2,Sepette İndirim,Kredi Kartı,Masaüstü,3.0,Hayır,4.0,379.81
S000080,M0143,2025-11-25,Ankara,30,Spor,590.04,3.0,0.3,Özel Gün,Kapıda Ödeme,Mobil,2.0,Hayır,3.0,1239.08
S000298,M0058,2025-03-01,Ankara,9,Elektronik,10983.36,1.0,0.1,Hafta Sonu,Banka Kartı,Mobil,1.0,Hayır,5.0,9885.02
S000186,M0156,2025-11-21,Elazığ,27,Ev & Yaşam,771.38,2.0,0.0,Yok,Kredi Kartı,Mobil,12.0,Hayır,3.0,1542.76
